pickup_year,pickup_month,pickup_day,pickup_time,trip_distance,pickup_location,dropoff_location,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,tip_amount,total_amount,payment_type
2016,9,4,0,11.26,148,244,32,0.5,0.5,0,0.3,6.66,39.96,1
2016,9,4,0,2.49,158,230,11.5,0.5,0.5,0,0.3,0,12.8,2
2016,1,1,0,1.24,40.76839066,1,40.75553894,2,14.5,0.5,0,0.5,0,-73.97975159
2016,7,17,0,2.4,186,237,10,0.5,0.5,0,0.3,0,11.3,2
2016,7,10,0,7.44,226,261,23,0,0.5,0,0.3,4.76,28.56,1
2016,9,4,0,9.01,140,189,27,0.5,0.5,0,0.3,5.66,33.96,1
2016,1,1,0,0.72,40.74721909,1,40.75179672,2,5,0.5,0,0.5,0,-74.00448608
2016,7,17,0,1.2,50,142,6.5,0.5,0.5,0,0.3,1.2,9,1
2016,2,19,0,6.16,40.75563812,1,40.70796967,1,20.5,0.5,0,0.5,0,-74.01667023
2016,9,4,0,7.1,256,196,24.5,0.5,0.5,0,0.3,2,27.8,1
2016,7,10,0,2.3,238,41,10,0,0.5,0,0.3,0,10.8,2
2016,11,1,0,2.34,148,164,11,0.5,0.5,0,0.3,0,12.3,2
2016,9,4,0,1.71,48,237,9,0.5,0.5,0,0.3,2.06,12.36,1
2016,11,1,0,3.45,148,170,17.5,0.5,0.5,0,0.3,3.76,22.56,1
2016,7,17,0,1.97,68,170,9,0.5,0.5,0,0.3,1.5,11.8,1
2016,1,1,0,3.1,40.76387787,1,40.72816086,1,21,0.5,4.45,0.5,0,-73.99926758
2016,2,1,0,2.36,40.76305771,1,40.73915482,2,8.5,0.5,0,0.5,0,-73.97999573
2016,1,1,0,4.9,40.67211533,1,40.71059418,1,19,0.5,4.06,0.5,0,-73.98657227
2016,9,4,0,3.2,42,235,11.5,0.5,0.5,0,0.3,0,12.8,2
2016,1,1,0,24,40.74929047,5,40.72052383,1,140,0,30.95,0,14.5,-74.32032776
2016,7,17,0,1.8,231,232,9.5,0.5,0.5,0,0.3,0,10.8,2
2016,2,1,0,1.1,40.71400833,1,40.70975876,2,6,0.5,0,0.5,0,-74.00614929
2016,11,15,0,0.89,170,107,5,0.5,0.5,0,0.3,1.26,7.56,1
2016,7,10,0,1.91,114,137,9,0,0.5,0,0.3,1,10.8,1
2016,2,1,0,0.73,40.7518425,1,40.74637604,1,5,0.5,1.26,0.5,0,-74.00115967
2016,1,1,0,5.4,40.78913879,1,40.85154724,2,24.5,0.5,0,0.5,0,-73.91590118
2016,1,1,0,1.6,40.71595764,1,40.73404312,2,8,0.5,0,0.5,0,-73.98986053
2016,9,4,0,4,97,61,15,0.5,0.5,0,0.3,0,16.3,2
2016,2,1,0,1.5,40.74010849,1,40.7595787,1,6,0.5,1,0.5,0,-73.96211243
2016,2,1,0,2.2,40.75617599,1,40.78193283,1,9,0.5,1.95,0,0,-73.94560242
2016,9,4,0,1.8,162,224,8,0.5,0.5,0,0.3,0,9.3,2
2016,9,4,0,1.9,264,264,8.5,0.5,0.5,0,0.3,1.95,11.75,1
2016,7,10,0,1.75,90,230,8,0,0.5,0,0.3,0,8.8,2
2016,7,17,0,2.2,170,140,8.5,0.5,0.5,0,0.3,1.95,11.75,1
2016,7,10,0,1.5,143,237,8,0,0.5,0,0.3,1.75,10.55,1
2016,1,29,0,2.5,40.78459167,1,40.80160522,2,10.5,0.5,0,0,0,-73.94350433
2016,11,1,0,5.76,90,166,21,0.5,0.5,0,0.3,2.8,25.1,1
2016,2,25,0,5.52,40.75099182,1,40.75883865,2,20,0.5,0,0.5,0,-73.98858643
2016,9,4,0,0.7,162,230,5,0.5,0.5,0,0.3,0,6.3,2
2016,2,19,0,1.35,40.76174164,1,40.75852966,1,8.5,0.5,1.96,0.5,0,-73.99240875
2016,9,4,0,2.3,158,137,11.5,0.5,0.5,0,0.3,0,12.8,2
2016,11,1,0,1.7,48,238,7.5,0.5,0.5,0,0.3,1.75,10.55,1
2016,1,1,0,0,0,3,0,2,20,0,0,0.5,0,0
2016,2,1,0,8.2,40.77425385,1,40.75233459,1,23.5,0.5,7.55,0.5,5.54,-73.98709106
2016,9,4,0,0.53,50,50,4,0.5,0.5,0,0.3,1.59,6.89,1
2016,1,1,0,1.2,40.74456024,1,40.75366211,1,6.5,0.5,2.3,0.5,0,-73.9664917
2016,9,4,0,2.5,163,107,10,0.5,0.5,0,0.3,0,11.3,2
2016,9,4,0,0.02,114,114,2.5,0.5,0.5,0,0.3,0,3.8,2
2016,9,4,0,1.76,234,230,8,0.5,0.5,0,0.3,0,9.3,2
2016,2,1,0,1.02,40.75382614,1,40.75009537,2,5.5,0.5,0,0.5,0,-73.99121094
2016,2,1,0,8.23,40.7740593,1,40.75175858,2,24,0.5,0,0.5,5.54,-73.97733307
2016,9,4,0,4.3,48,74,14,0.5,0.5,0,0.3,4.55,19.85,1
2016,1,1,0,1.76,40.78133011,1,40.7585144,2,8,0.5,0,0,0,-73.9772644
2016,1,1,0,3.6,40.72050095,1,40.72179031,1,13.5,0.5,2.96,0.5,0,-73.95818329
2016,9,4,0,1.1,158,246,6,0.5,0.5,0,0.3,1.45,8.75,1
2016,11,1,0,16.75,132,170,52,4.5,0.5,5.54,0.3,12.57,75.41,1
2016,9,4,0,0.9,100,233,6.5,0.5,0.5,0,0.3,1,8.8,1
2016,2,19,0,3.34,40.73033905,1,40.76101685,1,13.5,0.5,2,0.5,0,-73.99092865
2016,9,4,0,5.29,148,50,21,0.5,0.5,0,0.3,5.58,27.88,1
2016,11,1,0,1.9,79,144,12.5,0.5,0.5,0,0.3,2.75,16.55,1
2016,1,1,0,1.56,40.75115204,1,40.7670517,2,7.5,0.5,0,0.5,0,-73.93002319
2016,9,4,0,1.53,82,160,6.5,0.5,0.5,0,0.3,0,7.8,2
2016,11,1,0,2.5,164,231,11,0.5,0.5,0,0.3,2.45,14.75,1
2016,1,29,0,1.2,40.74574661,1,40.76155853,1,9.5,0.5,2.05,0,0,-73.97261047
2016,1,1,0,0.9,40.76404953,1,40.76241302,2,6.5,0.5,0,0.5,0,-73.96797943
2016,2,1,0,3.91,40.7849617,1,40.75405884,1,13,0.5,2.86,0.5,0,-73.99263763
2016,11,1,0,0.7,107,164,5,0.5,0.5,0,0.3,1,7.3,1
2016,1,29,0,1.77,40.75093842,1,40.75608063,1,15,0.5,3.16,0,0,-73.97059631
2016,1,1,0,0.9,40.75831604,1,40.76686096,2,8.5,0.5,0,0.5,0,-73.98344421
2016,7,10,0,2.6,261,79,12,0,0.5,0,0.3,0,12.8,2
2016,9,4,0,1.56,80,36,8,0.5,0.5,0,0.3,0,9.3,2
2016,2,1,0,0.69,40.71099854,1,40.71886063,2,4.5,0.5,0,0.5,0,-73.95665741
2016,1,1,0,0.9,40.73963928,1,40.74522018,2,6,0.5,0,0.5,0,-74.00219727
2016,7,10,0,0,193,7,2.5,0,0.5,0,0.3,0,3.3,1
2016,1,1,0,1.49,40.71966934,1,40.73180008,1,10,0.5,2.26,0.5,0,-73.98390961
2016,11,1,0,3.41,114,230,16.5,0.5,0.5,0,0.3,3.56,21.36,1
2016,1,1,0,0.7,40.63657379,1,40.63483429,2,11,0.5,0,0.5,0,-73.89250183
2016,2,1,0,18.66,40.64659119,2,40.72986984,1,52,0.5,10.56,0,0,-74.00406647
2016,7,10,0,2,114,90,8,0,0.5,0,0.3,2,10.8,1
2016,7,10,0,2.5,164,45,11.5,0,0.5,0,0.3,0,12.3,2
2016,11,15,0,0.79,161,237,-6,-0.5,-0.5,0,-0.3,0,-7.3,4
2016,7,17,0,1.5,90,164,8,0.5,0.5,0,0.3,0.14,9.44,1
2016,1,1,0,1.7,40.77469635,1,40.79670715,1,7,0.5,1.65,0.5,0,-73.97093964
2016,7,10,0,2.08,137,140,8,0,0.5,0,0.3,2.2,11,1
2016,11,1,0,1.14,239,151,5,0.5,0.5,0,0.3,0,6.3,2
2016,11,1,0,0.97,234,90,7,0.5,0.5,0,0.3,0,8.3,2
2016,9,4,0,2.4,79,246,11.5,0.5,0.5,0,0.3,2.55,15.35,1
2016,2,1,0,1.56,40.7646904,1,40.76499176,1,6.5,0.5,1.5,0.5,0,-73.98249054
2016,7,10,0,2.3,158,230,10,0,0.5,0,0.3,2.15,12.95,1
2016,7,10,0,1.21,233,140,6.5,0,0.5,0,0.3,0,7.3,1
2016,7,10,0,12.4,132,171,36.5,0,0.5,0,0.3,0,37.3,2
2016,11,1,0,1.02,263,75,5.5,0.5,0.5,0,0.3,1.36,8.16,1
2016,9,4,0,5.83,79,239,20.5,0.5,0.5,0,0.3,0,21.8,2
2016,1,1,0,1.8,40.75979996,1,40.74298859,1,9.5,0.5,2,0.5,0,-73.98935699
2016,2,1,0,0.66,40.73326111,1,40.73119354,2,4.5,0.5,0,0.5,0,-74.00133514
2016,1,1,0,1.3,40.75932312,1,40.75030136,2,7.5,0.5,0,0.5,0,-73.99487305
2016,2,1,0,8.11,40.73500061,1,40.81040955,1,25,0.5,5.26,0.5,0,-73.94193268
2016,9,4,0,3.02,107,50,11.5,0.5,0.5,0,0.3,0,12.8,2
2016,1,1,0,7.85,40.74325562,1,40.76462936,1,22.5,0.5,5.87,0.5,5.54,-73.91187286
2016,11,15,0,0.57,161,48,4,0.5,0.5,0,0.3,1.59,6.89,1
2016,2,1,0,8.1,40.75923157,1,40.85145187,1,28.5,0.5,5,0.5,0,-73.94001007
2016,7,10,0,0.9,114,249,6,0,0.5,0,0.3,0,6.8,2
2016,9,4,0,7.24,249,41,25,0.5,0.5,0,0.3,5.26,31.56,1
2016,2,1,0,2.18,40.75267029,1,40.75349426,2,15.5,0.5,0,0.5,0,-73.99421692
2016,9,4,0,1.68,226,83,8,0.5,0.5,0,0.3,0,9.3,2
2016,2,1,0,1.8,40.74407959,1,40.76584244,2,7,0.5,0,0.5,0,-73.99464417
2016,11,1,0,1.82,234,148,11,0.5,0.5,0,0.3,0,12.3,2
2016,1,29,0,0.51,40.74981308,1,40.7560997,1,7.5,0.5,0,0,0,-73.97008514
2016,7,17,0,2.85,231,100,9.5,0.5,0.5,0,0.3,2,12.8,1
2016,7,17,0,1.2,238,41,6.5,0.5,0.5,0,0.3,0,7.8,1
